event_name,event_date,event_year,mean_across_instances,std_across_instances,n_instances,period
ChatGPT Release,2022-11-30,2022,0.09522671176945395,0.05707828067999034,20,baseline
Claude 3.7 Sonnet,2025-02-25,2025,0.14090548061396277,0.15293224115809698,15,baseline
DeepSeek R1,2025-01-20,2025,0.1272796918646705,0.06699571725932102,14,baseline
GPT-4 Launch,2023-03-14,2023,0.07870361676795244,0.058791382795148825,21,baseline
GPT-5 Announce,2025-08-07,2025,0.08767725157705317,0.07479334294712972,13,baseline
Gemini 2.5 Launch,2025-03-25,2025,0.06572627476205982,0.07371451424883735,23,baseline
Llama 3.1,2024-07-23,2024,0.07718531488003012,0.07715050643168714,16,baseline
Llama 4 Release,2025-04-05,2025,0.07878004063656706,0.09692464895445937,17,baseline
OpenAI Board Crisis,2023-11-17,2023,0.10913282521960548,0.10316625310987339,12,baseline
OpenAI o1,2024-09-12,2024,0.0609241743453387,0.06039092863874565,20,baseline
Sora Announce,2024-02-15,2024,0.0806215541847378,0.07577895298912939,15,baseline
ChatGPT Release,2022-11-30,2022,0.10526448322213776,0.038626681629953134,22,post
Claude 3.7 Sonnet,2025-02-25,2025,0.1402157705450638,0.13569537308627233,13,post
DeepSeek R1,2025-01-20,2025,0.14194313579678275,0.137816681006614,18,post
GPT-4 Launch,2023-03-14,2023,0.08205267536352505,0.05407868943742013,21,post
GPT-5 Announce,2025-08-07,2025,0.07314666880111576,0.10449592305094381,15,post
Gemini 2.5 Launch,2025-03-25,2025,0.060897797663956275,0.045605470267005815,23,post
Llama 3.1,2024-07-23,2024,0.10674720147644007,0.12849008742107826,18,post
Llama 4 Release,2025-04-05,2025,0.14519673871619085,0.09079994626237907,19,post
OpenAI Board Crisis,2023-11-17,2023,0.05446903877776848,0.046677067127915535,22,post
OpenAI o1,2024-09-12,2024,0.08304244245918374,0.10501089760130035,20,post
Sora Announce,2024-02-15,2024,0.042461475961253034,0.04445848547591453,18,post
